"Name","Rank","Number of Births"
"Jack","1","685"
"James","2","619"
"Daniel","3","536"
"Conor","4","472"
"Sean","5","453"
"Noah","6","442"
"Luke","7","420"
"Harry","8","410"
"Adam","9","389"
"Michael","10","359"
"Oisin","11","351"
"Alex","12","347"
"Charlie","13","338"
"Fionn","14","314"
"Liam","15","312"
"Cillian","16","302"
"Darragh","17","300"
"Patrick","17","300"
"Cian","19","291"
"Thomas","19","291"
"Jamie","19","291"
"John","22","266"
"Finn","23","265"
"Ryan","24","260"
"Rian","25","257"
"Matthew","26","256"
"David","27","255"
"Tadhg","28","254"
"Dylan","29","252"
"Oliver","30","249"
"Aaron","31","230"
"Ben","32","204"
"Leo","33","193"
"Nathan","34","187"
"Ethan","35","186"
"Jake","36","184"
"Alfie","36","184"
"Max","38","182"
"Alexander","39","180"
"Ollie","40","179"
"Jacob","41","175"
"Logan","41","175"
"Callum","43","171"
"Oscar","44","168"
"Evan","45","167"
"Sam","46","165"
"Joseph","47","162"
"Bobby","48","161"
"Mason","49","158"
"Joshua","50","155"
"Tom","50","155"
"Samuel","52","150"
"Leon","53","140"
"William","54","139"
"Donnacha","55","136"
"Aidan","56","127"
"Senan","57","125"
"Eoin","58","120"
"Lucas","58","120"
"Mark","60","119"
"Cathal","61","114"
"Kyle","61","114"
"Jayden","61","114"
"Odhran","64","111"
"Danny","64","111"
"Eoghan","66","110"
"Robert","67","109"
"Tommy","68","106"
"Benjamin","69","105"
"Martin","69","105"
"Daithi","71","102"
"Rory","72","101"
"Theo","73","97"
"Ronan","74","95"
"Billy","74","95"
"Andrew","76","94"
"Kai","77","90"
"Ciaran","78","89"
"Louis","78","89"
"Sebastian","80","88"
"Anthony","81","87"
"Tomas","81","87"
"Henry","81","87"
"Shane","84","86"
"Isaac","84","86"
"Shay","84","86"
"Muhammad","87","83"
"Peter","88","82"
"George","88","82"
"Scott","90","81"
"Arthur","91","80"
"Kevin","92","78"
"Christopher","92","78"
"Dara","92","78"
"Hugo","92","78"
"Ruairi","96","77"
"Cormac","97","75"
"Tyler","97","75"
"Jackson","99","74"
"Archie","100","72"
"Edward","101","69"
"Luca","102","66"
"Kayden","102","66"
"Zach","104","65"
"Filip","105","63"
"Killian","106","62"
"Daire","106","62"
"Eli","108","61"
"Rhys","109","60"
"Josh","110","59"
"Lorcan","111","58"
"Freddie","111","58"
"Brody","111","58"
"Jason","114","57"
"Oran","114","57"
"Blake","116","56"
"Hugh","117","54"
"Calvin","117","54"
"Harrison","117","54"
"Alan","120","53"
"Micheal","120","53"
"Paddy","120","53"
"Jakub","123","52"
"Elliot","124","51"
"Lewis","125","50"
"Donagh","125","50"
"Brian","127","49"
"Tiernan","127","49"
"Joe","127","49"
"Gabriel","127","49"
"Dominic","131","48"
"Frankie","131","48"
"Diarmuid","133","47"
"Niall","134","46"
"Seamus","134","46"
"Joey","134","46"
"Carter","134","46"
"Stephen","138","45"
"Richard","138","45"
"Conall","138","45"
"Eric","141","44"
"Caleb","142","43"
"Szymon","142","43"
"Rowan","142","43"
"Cameron","145","42"
"Denis","145","42"
"Tadgh","145","42"
"Harvey","145","42"
"Padraig","149","40"
"Reuben","149","40"
"Louie","149","40"
"Jaxon","149","40"
"Zack","153","39"
"Marcel","153","39"
"Milo","153","39"
"Charles","156","38"
"Cody","156","38"
"Antoni","156","38"
"Elliott","156","38"
"Cole","156","38"
"Theodore","156","38"
"Philip","162","37"
"Marcus","162","37"
"Elijah","162","37"
"Hunter","162","37"
"Jan","166","36"
"Mikolaj","166","36"
"Riley","166","36"
"Paul","169","35"
"Jonathan","169","35"
"Adrian","169","35"
"Ruadhan","169","35"
"Casey","169","35"
"Iarla","169","35"
"Dean","175","34"
"Ross","175","34"
"Nicholas","175","34"
"Cooper","175","34"
"Tristan","179","33"
"Shea","179","33"
"Will","179","33"
"Robbie","179","33"
"Levi","179","33"
"Jordan","184","32"
"Jude","184","32"
"Paidi","184","32"
"Teddy","184","32"
"Lee","188","31"
"Kacper","188","31"
"Keelan","188","31"
"Caolan","188","31"
"Sonny","188","31"
"Austin","188","31"
"Cuan","188","31"
"Christian","195","30"
"Oskar","195","30"
"Colm","197","29"
"Eanna","197","29"
"Timothy","197","29"
"Zachary","197","29"
"Frank","197","29"
"Franciszek","197","29"
"Corey","203","28"
"Simon","203","28"
"Jay","203","28"
"Lukas","203","28"
"Aodhan","203","28"
"Jonah","203","28"
"Iarlaith","203","28"
"Kian","210","27"
"Gerard","210","27"
"Bradley","210","27"
"Dominik","210","27"
"Gavin","214","26"
"Gearoid","214","26"
"Aiden","214","26"
"Fabian","214","26"
"Ezra","214","26"
"Olly","214","26"
"Kieran","220","25"
"Brendan","220","25"
"Fiachra","220","25"
"Felix","220","25"
"Maksymilian","220","25"
"Zac","220","25"
"Julian","220","25"
"Cayden","220","25"
"Matei","220","25"
"Arlo","220","25"
"Ivan","230","24"
"Jesse","230","24"
"Vincent","230","24"
"Harley","230","24"
"Calum","234","23"
"Darren","234","23"
"Victor","234","23"
"Luka","234","23"
"Maximilian","234","23"
"Aleksander","234","23"
"Reece","240","22"
"Daragh","240","22"
"Tiarnan","240","22"
"Tymon","240","22"
"Owen","244","21"
"Lennon","244","21"
"Toby","244","21"
"Naoise","244","21"
"Conan","244","21"
"Francis","244","21"
"Johnny","250","20"
"Michal","250","20"
"Mikey","250","20"
"Myles","250","20"
"Caden","250","20"
"Bodhi","250","20"
"Kaiden","250","20"
"Dillon","257","19"
"Ali","257","19"
"Damian","257","19"
"Caiden","257","19"
"Brogan","257","19"
"Jaxson","257","19"
"Patryk","263","18"
"Ian","263","18"
"Donncha","263","18"
"Lochlann","263","18"
"Dan","263","18"
"Caelan","263","18"
"Natan","263","18"
"Darius","263","18"
"Rayan","263","18"
"Colin","272","17"
"Ewan","272","17"
"Donal","272","17"
"Matas","272","17"
"Warren","272","17"
"Davin","272","17"
"Wiktor","272","17"
"Erik","272","17"
"Frederick","272","17"
"Justin","281","16"
"Morgan","281","16"
"Tony","281","16"
"Nikodem","281","16"
"Rocco","281","16"
"Ruben","281","16"
"Andrei","281","16"
"Andy","281","16"
"Eddie","281","16"
"Oliwier","281","16"
"Keegan","281","16"
"Elias","281","16"
"Tymoteusz","281","16"
"Jace","281","16"
"Mateo","281","16"
"Connor","296","15"
"Eamon","296","15"
"Nicolas","296","15"
"Igor","296","15"
"Aron","296","15"
"Benas","296","15"
"Jimmy","296","15"
"Flynn","296","15"
"Parker","296","15"
"Brandon","305","14"
"Conn","305","14"
"Brooklyn","305","14"
"Stefan","305","14"
"Laurence","305","14"
"Kealan","305","14"
"Ted","305","14"
"Art","305","14"
"Leighton","305","14"
"Quinn","305","14"
"Rio","305","14"
"Lincoln","305","14"
"Damien","317","13"
"Hayden","317","13"
"Neil","317","13"
"Bernard","317","13"
"Clayton","317","13"
"Ahmed","317","13"
"Mohamed","317","13"
"Donnchadh","317","13"
"Devin","317","13"
"Nathaniel","317","13"
"Tobias","317","13"
"Eryk","317","13"
"Peadar","317","13"
"Barra","317","13"
"Hudson","317","13"
"Paudie","317","13"
"Spencer","317","13"
"Jayce","317","13"
"Grayson","317","13"
"Dawid","336","12"
"Bryan","336","12"
"Troy","336","12"
"Noel","336","12"
"Emmanuel","336","12"
"Padraic","336","12"
"Alexandru","336","12"
"Mohammed","336","12"
"Bill","336","12"
"Jim","336","12"
"Sean Og","336","12"
"Robin","336","12"
"Roman","336","12"
"Xavier","336","12"
"Ellis","336","12"
"Braxton","336","12"
"Faolan","336","12"
"Lochlan","336","12"
"Omar","336","12"
"Albie","336","12"
"Craig","356","11"
"Karl","356","11"
"Marc","356","11"
"Emmet","356","11"
"Eamonn","356","11"
"Joel","356","11"
"Olivier","356","11"
"Pearse","356","11"
"Mohammad","356","11"
"Fionnan","356","11"
"Devon","356","11"
"Matteo","356","11"
"Bruno","356","11"
"Rohan","356","11"
"Dawson","356","11"
"Kody","356","11"
"Nikolas","356","11"
"Rua","356","11"
"Riain","374","10"
"Aran","374","10"
"Ibrahim","374","10"
"Abel","374","10"
"Albert","374","10"
"Hamza","374","10"
"Chris","374","10"
"Abdul","374","10"
"Jaden","374","10"
"Seth","374","10"
"Axel","374","10"
"Micah","374","10"
"Ruan","374","10"
"Aronas","374","10"
"Finley","374","10"
"Brodie","374","10"
"Seimi","374","10"
"Teodor","374","10"
"Archer","374","10"
"Arham","374","10"
"Mateusz","394","9"
"Raymond","394","9"
"Olan","394","9"
"Jeremiah","394","9"
"Nojus","394","9"
"Ned","394","9"
"Jonas","394","9"
"Olaf","394","9"
"Se","394","9"
"Domhnall","394","9"
"Luan","394","9"
"Maximus","394","9"
"Lennox","394","9"
"Milan","394","9"
"Brayden","394","9"
"Kyron","394","9"
"Lachlan","394","9"
"Lochlainn","394","9"
"Zane","394","9"
"Culann","394","9"
"Jasper","394","9"
"Carson","394","9"
"Layton","394","9"
"Remy","394","9"
"Taylor","418","8"
"Kamil","418","8"
"Ferdia","418","8"
"Mario","418","8"
"Hubert","418","8"
"Leonardo","418","8"
"Malachy","418","8"
"Tomasz","418","8"
"Leonard","418","8"
"Beau","418","8"
"Raphael","418","8"
"Eduard","418","8"
"Kyran","418","8"
"Mustafa","418","8"
"Alfred","418","8"
"John Paul","418","8"
"Lorenzo","418","8"
"Paraic","418","8"
"Ralph","418","8"
"Enzo","418","8"
"Phoenix","418","8"
"Zayn","418","8"
"Avery","418","8"
"Ignacy","418","8"
"Reggie","418","8"
"Shaun","443","7"
"Barry","443","7"
"Declan","443","7"
"Gary","443","7"
"Travis","443","7"
"Conal","443","7"
"Fintan","443","7"
"Bailey","443","7"
"Roan","443","7"
"Maciej","443","7"
"Nikita","443","7"
"Jerry","443","7"
"Maxim","443","7"
"Diego","443","7"
"Jeremy","443","7"
