"Name","Rank","Number of Births"
"Emily","1","619"
"Sophie","2","468"
"Emma","3","441"
"Grace","4","408"
"Ava","5","404"
"Ella","6","398"
"Amelia","7","388"
"Mia","8","370"
"Lucy","9","369"
"Aoife","10","364"
"Lily","11","350"
"Sarah","12","343"
"Hannah","13","337"
"Chloe","14","328"
"Sophia","15","316"
"Anna","16","314"
"Katie","17","301"
"Kate","18","290"
"Ellie","19","288"
"Olivia","20","287"
"Holly","21","266"
"Ruby","22","265"
"Saoirse","23","263"
"Lauren","24","261"
"Caoimhe","25","242"
"Isabelle","26","223"
"Leah","27","207"
"Ciara","28","198"
"Molly","29","196"
"Amy","30","191"
"Robyn","31","187"
"Jessica","32","173"
"Zoe","32","173"
"Niamh","34","169"
"Cara","35","165"
"Freya","36","163"
"Roisin","37","162"
"Erin","38","158"
"Sadie","39","157"
"Julia","40","156"
"Isabella","41","150"
"Sofia","42","148"
"Eva","43","147"
"Clodagh","44","144"
"Sadhbh","44","144"
"Kayla","46","138"
"Millie","47","135"
"Eve","48","133"
"Abbie","49","132"
"Laura","49","132"
"Layla","51","130"
"Faye","52","129"
"Rachel","53","127"
"Amber","53","127"
"Aisling","55","124"
"Abigail","55","124"
"Ellen","57","120"
"Emilia","57","120"
"Alice","59","119"
"Eabha","60","115"
"Aoibhinn","61","111"
"Charlotte","62","110"
"Zara","63","109"
"Maya","64","108"
"Aine","65","106"
"Alannah","65","106"
"Nicole","67","104"
"Evie","67","104"
"Maria","69","103"
"Megan","70","99"
"Clara","71","98"
"Elizabeth","72","97"
"Maja","73","96"
"Rebecca","74","92"
"Annie","75","91"
"Lilly","76","90"
"Mary","77","88"
"Aoibheann","77","88"
"Lena","79","87"
"Fiadh","80","86"
"Sienna","81","85"
"Lexi","82","83"
"Alexandra","83","82"
"Isla","84","81"
"Rose","85","79"
"Madison","86","78"
"Isabel","87","76"
"Hanna","88","75"
"Victoria","89","74"
"Meabh","89","74"
"Caitlin","91","73"
"Georgia","91","73"
"Tara","93","72"
"Hollie","94","71"
"Ailbhe","95","69"
"Ruth","96","68"
"Natalia","97","67"
"Lara","98","66"
"Sara","99","65"
"Poppy","100","64"
"Brooke","101","62"
"Maeve","101","62"
"Willow","103","61"
"Daisy","104","60"
"Maisie","104","60"
"Rosie","106","58"
"Annabelle","106","58"
"Alanna","108","57"
"Mollie","109","56"
"Muireann","110","55"
"Doireann","110","55"
"Eimear","112","53"
"Aimee","112","53"
"Bella","112","53"
"Laoise","115","52"
"Lola","115","52"
"Kayleigh","117","51"
"Orla","117","51"
"Elena","117","51"
"Zuzanna","120","49"
"Paige","120","49"
"Elsie","120","49"
"Katelyn","123","48"
"Hazel","123","48"
"Isobel","123","48"
"Alisha","123","48"
"Orlaith","127","47"
"Siofra","127","47"
"Heidi","127","47"
"Zofia","130","46"
"Maia","130","46"
"Elise","132","45"
"Catherine","133","44"
"Mya","133","44"
"Naoise","133","44"
"Nadia","133","44"
"Evelyn","133","44"
"Fia","138","43"
"Aoibhe","139","42"
"Michaela","139","42"
"Siun","139","42"
"Shauna","142","41"
"Beth","142","41"
"Matilda","142","41"
"Eliza","142","41"
"Mila","142","41"
"Lucia","147","40"
"Amelie","147","40"
"Nina","147","40"
"Liliana","147","40"
"Alison","151","39"
"Cora","151","39"
"Alicja","151","39"
"Alicia","154","38"
"Vanessa","154","38"
"Bonnie","154","38"
"Penny","154","38"
"Jane","158","37"
"Keeva","158","37"
"Lacey","158","37"
"Elsa","158","37"
"Jasmine","162","36"
"Naomi","162","36"
"Oliwia","164","35"
"Annabel","164","35"
"Zoey","164","35"
"Aria","164","35"
"Harper","164","35"
"Margaret","169","34"
"Kathleen","169","34"
"Casey","171","32"
"Lana","171","32"
"Pippa","171","32"
"Andrea","174","31"
"Gabriela","174","31"
"Darcy","174","31"
"Lexie","174","31"
"Phoebe","174","31"
"Eleanor","179","30"
"Aoibhin","179","30"
"Carla","179","30"
"Nikola","179","30"
"Summer","179","30"
"Jennifer","184","29"
"Danielle","184","29"
"Sorcha","184","29"
"Charlie","184","29"
"Sinead","188","28"
"Shannon","188","28"
"Abby","188","28"
"Louise","188","28"
"Faith","188","28"
"Teagan","188","28"
"Juliette","188","28"
"April","188","28"
"Nessa","188","28"
"Fiona","197","27"
"Claire","197","27"
"Emer","197","27"
"Julie","197","27"
"Leila","197","27"
"Arianna","197","27"
"Taylor","203","26"
"Ali","203","26"
"Wiktoria","203","26"
"Abbey","203","26"
"Hayley","203","26"
"Bridget","203","26"
"Moya","203","26"
"Nora","203","26"
"Lily-Mae","203","26"
"Priya","203","26"
"Michelle","213","25"
"Erica","213","25"
"Alyssa","213","25"
"Una","213","25"
"Savannah","213","25"
"Esme","213","25"
"Alana","219","24"
"Libby","219","24"
"Emilija","219","24"
"Ivy","219","24"
"Kaja","219","24"
"Stella","224","23"
"Scarlett","224","23"
"Farrah","224","23"
"Callie","224","23"
"Darcie","224","23"
"Grainne","229","22"
"Tori","229","22"
"Jade","229","22"
"Keira","229","22"
"Kaitlyn","229","22"
"Martha","229","22"
"Caragh","229","22"
"Maggie","229","22"
"Beibhinn","229","22"
"Daria","229","22"
"Skye","229","22"
"Allie","229","22"
"Thea","229","22"
"Nicola","242","21"
"Chelsea","242","21"
"Cassie","242","21"
"Caroline","242","21"
"Kara","242","21"
"Neasa","242","21"
"Ana","242","21"
"Ada","242","21"
"Lillian","242","21"
"Milena","242","21"
"Penelope","242","21"
"Jodie","253","20"
"Aleksandra","253","20"
"Jenna","253","20"
"Karolina","253","20"
"Helena","253","20"
"Joanna","253","20"
"Carly","253","20"
"Lucie","253","20"
"Gracie","253","20"
"Eloise","253","20"
"Hallie","253","20"
"Siobhan","264","19"
"Kelsey","264","19"
"Melissa","264","19"
"Ann","264","19"
"Erika","264","19"
"Robin","264","19"
"Amira","264","19"
"Khloe","264","19"
"Lottie","264","19"
"Riley","264","19"
"Alex","274","18"
"Gabrielle","274","18"
"Brianna","274","18"
"Bronagh","274","18"
"Eadaoin","274","18"
"Sasha","274","18"
"Kacey","274","18"
"Maebh","274","18"
"Lia","274","18"
"Sandra","274","18"
"Darcey","274","18"
"Gabriella","274","18"
"Roise","274","18"
"Vivienne","274","18"
"Mae","274","18"
"Ariana","274","18"
"Florence","274","18"
"Gemma","291","17"
"Amanda","291","17"
"Diana","291","17"
"Helen","291","17"
"Natalie","291","17"
"Ayla","291","17"
"Kasey","291","17"
"Tess","291","17"
"Tessa","291","17"
"Aoibh","291","17"
"Harriet","291","17"
"Kitty","291","17"
"Maisy","291","17"
"Lisa","304","16"
"Stephanie","304","16"
"Cliodhna","304","16"
"Claudia","304","16"
"Aaliyah","304","16"
"Fatima","304","16"
"Ally","304","16"
"Kyra","304","16"
"Ria","304","16"
"Blaithin","304","16"
"Nancy","304","16"
"Alexis","304","16"
"Arabella","304","16"
"Belle","304","16"
"Edith","304","16"
"Emmie","304","16"
"Indie","304","16"
"Shona","321","15"
"Lydia","321","15"
"Aideen","321","15"
"Edel","321","15"
"Samantha","321","15"
"Charley","321","15"
"Demi","321","15"
"Lorna","321","15"
"Aisha","321","15"
"Rosa","321","15"
"Angelina","321","15"
"Pearl","321","15"
"Neala","321","15"
"Kaylee","321","15"
"Sofija","321","15"
"Angel","336","14"
"Martyna","336","14"
"Riona","336","14"
"Juliet","336","14"
"Keela","336","14"
"Weronika","336","14"
"Alesha","336","14"
"Mairead","336","14"
"Beatrice","336","14"
"Hope","336","14"
"Iris","336","14"
"Saorla","336","14"
"Elodie","336","14"
"Pola","336","14"
"Saibh","336","14"
"Frankie","336","14"
"Saorlaith","336","14"
"Kelly","353","13"
"Ashley","353","13"
"Cliona","353","13"
"Katherine","353","13"
"Patricia","353","13"
"Blathnaid","353","13"
"Marie","353","13"
"Sally","353","13"
"Shania","353","13"
"Jessie","353","13"
"Seren","353","13"
"Nevaeh","353","13"
"Bianca","353","13"
"Georgina","353","13"
"Kornelia","353","13"
"Annalise","353","13"
"May","353","13"
"Farah","353","13"
"Bailey","353","13"
"Maci","353","13"
"Heather","373","12"
"Abi","373","12"
"Tia","373","12"
"Meadhbh","373","12"
"Rhea","373","12"
"Daniella","373","12"
"Karina","373","12"
"Patrycja","373","12"
"Alexa","373","12"
"Emilie","373","12"
"Esther","373","12"
"Imogen","373","12"
"Marta","373","12"
"Iseult","373","12"
"Lillie","373","12"
"Ema","373","12"
"Genevieve","373","12"
"Alexia","373","12"
"Edie","373","12"
"Milly","373","12"
"Teegan","373","12"
"Kaya","373","12"
"Antonia","373","12"
"Emelia","373","12"
"Jagoda","373","12"
"Liadh","373","12"
"Mackenzie","373","12"
"Olive","373","12"
"Emmy","373","12"
"Hailey","373","12"
"Skylar","373","12"
"Leona","404","11"
"Keelin","404","11"
"Yasmin","404","11"
"Dearbhla","404","11"
"Avril","404","11"
"Kiera","404","11"
"Sadbh","404","11"
"Cadhla","404","11"
"Serena","404","11"
"Anne","404","11"
"Halle","404","11"
"Kaci","404","11"
"Lauryn","404","11"
"Daniela","404","11"
"Nia","404","11"
"Zainab","404","11"
"Miya","404","11"
"Alessia","404","11"
"Norah","404","11"
"Eden","404","11"
"Matylda","404","11"
"Croiadh","404","11"
"Maddie","404","11"
"Tegan","427","10"
"Elle","427","10"
"Ailish","427","10"
"Bethany","427","10"
"Josephine","427","10"
"Angela","427","10"
"Caoilainn","427","10"
"Adriana","427","10"
"Anastasia","427","10"
"Greta","427","10"
"Evelina","427","10"
"Julianne","427","10"
"Kimberly","427","10"
"Luna","427","10"
"Adele","427","10"
"Klara","427","10"
"Lyla","427","10"
"Maryam","427","10"
"Amina","427","10"
"Lila","427","10"
"Maddison","427","10"
"Anabelle","427","10"
"Beau","427","10"
"Ellie-Mae","427","10"
"Leja","427","10"
"Macie","427","10"
"Noor","427","10"
"Peyton","427","10"
"Skyler","427","10"
"Tilly","427","10"
"Oonagh","427","10"
"Natasha","458","9"
"Christina","458","9"
"Lea","458","9"
"Jorja","458","9"
