"Name","Rank","Number of Births"
"Emily","1","625"
"Emma","2","499"
"Sophie","3","497"
"Ella","4","478"
"Amelia","5","429"
"Aoife","6","424"
"Ava","7","410"
"Lucy","8","397"
"Grace","9","395"
"Sarah","10","391"
"Mia","11","374"
"Anna","12","352"
"Chloe","13","346"
"Hannah","14","340"
"Kate","15","328"
"Ruby","16","317"
"Lily","17","309"
"Katie","18","301"
"Caoimhe","19","292"
"Sophia","20","289"
"Lauren","21","279"
"Saoirse","22","264"
"Ellie","23","256"
"Holly","24","245"
"Leah","25","232"
"Amy","26","226"
"Olivia","27","222"
"Jessica","28","215"
"Ciara","29","214"
"Zoe","30","211"
"Isabelle","31","207"
"Niamh","32","204"
"Molly","33","197"
"Julia","34","186"
"Robyn","35","183"
"Erin","36","180"
"Roisin","37","178"
"Freya","38","172"
"Laura","39","169"
"Cara","40","160"
"Sofia","41","155"
"Eva","42","154"
"Rachel","43","153"
"Isabella","44","149"
"Kayla","45","148"
"Abbie","46","145"
"Charlotte","47","144"
"Millie","47","144"
"Faye","49","136"
"Clodagh","50","133"
"Aisling","51","132"
"Eabha","52","130"
"Alice","52","130"
"Abigail","54","129"
"Ellen","55","128"
"Lexi","56","127"
"Aoibhinn","57","126"
"Layla","58","125"
"Eve","59","122"
"Zara","59","122"
"Alannah","61","120"
"Aine","62","116"
"Megan","63","113"
"Maria","63","113"
"Rebecca","65","110"
"Nicole","66","109"
"Sadhbh","67","108"
"Clara","68","103"
"Elizabeth","69","99"
"Maya","70","97"
"Maja","71","94"
"Emilia","72","91"
"Caitlin","73","89"
"Rose","74","87"
"Isabel","75","86"
"Aoibheann","76","85"
"Sadie","77","84"
"Lena","78","82"
"Hollie","79","81"
"Sienna","80","80"
"Mary","81","79"
"Fiadh","82","78"
"Zuzanna","83","77"
"Tara","84","76"
"Aimee","84","76"
"Katelyn","86","75"
"Ruth","86","75"
"Lilly","86","75"
"Hanna","86","75"
"Alexandra","90","74"
"Poppy","90","74"
"Amber","92","73"
"Victoria","92","73"
"Mollie","92","73"
"Lara","95","72"
"Sara","96","71"
"Brooke","97","70"
"Aoibhe","98","67"
"Laoise","98","67"
"Kayleigh","100","66"
"Madison","101","65"
"Isla","101","65"
"Natalia","103","62"
"Georgia","104","61"
"Heidi","105","60"
"Maeve","106","59"
"Annie","106","59"
"Taylor","108","58"
"Meabh","109","57"
"Evie","110","56"
"Annabelle","110","56"
"Catherine","112","55"
"Daisy","112","55"
"Isobel","114","54"
"Mya","114","54"
"Eimear","116","52"
"Orla","116","52"
"Lexie","116","52"
"Jane","119","51"
"Nina","119","51"
"Rosie","119","51"
"Orlaith","122","50"
"Maisie","122","50"
"Shauna","124","49"
"Hazel","124","49"
"Muireann","124","49"
"Ailbhe","124","49"
"Doireann","124","49"
"Summer","124","49"
"Michaela","130","48"
"Sinead","131","47"
"Naoise","131","47"
"Mila","131","47"
"Matilda","134","46"
"Zofia","134","46"
"Jennifer","136","45"
"Paige","136","45"
"Alicia","138","44"
"Alison","139","43"
"Bella","139","43"
"Beth","141","42"
"Elsie","141","42"
"Jasmine","143","41"
"Hayley","143","41"
"Teagan","143","41"
"Alicja","143","41"
"Lacey","143","41"
"Eleanor","148","40"
"Jade","148","40"
"Amelie","148","40"
"Maggie","148","40"
"Darcy","148","40"
"Eliza","148","40"
"Willow","148","40"
"Liliana","148","40"
"Penny","148","40"
"Alanna","157","39"
"Aleksandra","157","39"
"Elena","157","39"
"Zoey","160","38"
"Wiktoria","161","37"
"Aoibhin","161","37"
"Nadia","161","37"
"Juliette","161","37"
"Abby","165","36"
"Grainne","165","36"
"Margaret","165","36"
"Siun","165","36"
"Elise","165","36"
"Vanessa","170","35"
"Claire","170","35"
"Shannon","172","33"
"Oliwia","172","33"
"Cora","172","33"
"Faith","172","33"
"Martha","172","33"
"Nora","172","33"
"Lola","172","33"
"Carly","172","33"
"Nevaeh","172","33"
"Erica","181","32"
"Lydia","181","32"
"Gabriela","181","32"
"Nikola","181","32"
"Alisha","185","31"
"Naomi","185","31"
"Andrea","185","31"
"Casey","185","31"
"Kara","185","31"
"April","185","31"
"Bonnie","185","31"
"Pippa","185","31"
"Siofra","193","30"
"Alana","193","30"
"Bridget","193","30"
"Julie","193","30"
"Tori","197","29"
"Evelyn","197","29"
"Phoebe","197","29"
"Alexis","197","29"
"Danielle","201","28"
"Lucia","201","28"
"Ashley","201","28"
"Samantha","201","28"
"Gabriella","201","28"
"Farrah","201","28"
"Michelle","207","27"
"Nicola","207","27"
"Keira","207","27"
"Carla","207","27"
"Keeva","207","27"
"Juliet","207","27"
"Tess","207","27"
"Fia","207","27"
"Elsa","207","27"
"Abbey","216","26"
"Siobhan","216","26"
"Maia","216","26"
"Aisha","216","26"
"Jenna","220","25"
"Natalie","220","25"
"Stella","220","25"
"Annabel","220","25"
"Ayla","220","25"
"Pola","220","25"
"Darcie","220","25"
"Alex","227","24"
"Emer","227","24"
"Lana","227","24"
"Ria","227","24"
"Hallie","227","24"
"Louise","232","23"
"Kathleen","232","23"
"Moya","232","23"
"Riona","232","23"
"Sasha","232","23"
"Alyssa","232","23"
"Neasa","232","23"
"Savannah","232","23"
"Khloe","232","23"
"Ali","241","22"
"Kelsey","241","22"
"Melissa","241","22"
"Emilija","241","22"
"Harper","241","22"
"Blathnaid","246","21"
"Joanna","246","21"
"Charlie","246","21"
"Nessa","246","21"
"Cadhla","246","21"
"Caoilinn","246","21"
"Scarlett","246","21"
"Aria","246","21"
"Gemma","254","20"
"Lisa","254","20"
"Sorcha","254","20"
"Amanda","254","20"
"Dearbhla","254","20"
"Caragh","254","20"
"Diana","254","20"
"Helen","254","20"
"Skye","254","20"
"Nell","254","20"
"Annalise","254","20"
"Angel","265","19"
"Stephanie","265","19"
"Libby","265","19"
"Bronagh","265","19"
"Aoibh","265","19"
"Roise","265","19"
"Milena","265","19"
"Maci","265","19"
"Cassie","273","18"
"Kacey","273","18"
"Fatima","273","18"
"Tia","273","18"
"Sally","273","18"
"Una","273","18"
"Caroline","273","18"
"Charley","273","18"
"Bethany","273","18"
"Izabella","273","18"
"Esme","273","18"
"Maisy","273","18"
"Hailey","273","18"
"Jodie","286","17"
"Kelly","286","17"
"Chelsea","286","17"
"Kaitlyn","286","17"
"Yasmin","286","17"
"Aideen","286","17"
"Katherine","286","17"
"Leila","286","17"
"Sadbh","286","17"
"Allie","286","17"
"Emilie","286","17"
"Ada","286","17"
"Francesca","286","17"
"Anastasia","286","17"
"Jessie","286","17"
"Hope","286","17"
"Saibh","286","17"
"Florence","286","17"
"Karolina","304","16"
"Demi","304","16"
"Patrycja","304","16"
"Klaudia","304","16"
"Tessa","304","16"
"Angelina","304","16"
"Antonina","304","16"
"Iris","304","16"
"Ivy","304","16"
"Izabela","304","16"
"Milana","304","16"
"Fiona","315","15"
"Shona","315","15"
"Claudia","315","15"
"Helena","315","15"
"Ashling","315","15"
"Alesha","315","15"
"Laila","315","15"
"Sandra","315","15"
"Mairead","315","15"
"Erika","315","15"
"Blaithin","315","15"
"Imogen","315","15"
"Arianna","315","15"
"Eloise","315","15"
"Halle","315","15"
"Nia","315","15"
"Vivienne","315","15"
"Callie","315","15"
"Connie","315","15"
"Antonia","315","15"
"Harriet","315","15"
"Jagoda","315","15"
"Kaylee","315","15"
"Lily-Rose","315","15"
"Lottie","315","15"
"Keelin","340","14"
"Cliodhna","340","14"
"Ann","340","14"
"Beibhinn","340","14"
"Daria","340","14"
"Lia","340","14"
"Rhea","340","14"
"Karina","340","14"
"Kaci","340","14"
"Darcey","340","14"
"Robin","340","14"
"Lillian","340","14"
"Makayla","340","14"
"Klara","340","14"
"Kornelia","340","14"
"Ariana","340","14"
"Sofija","340","14"
"Leanne","357","13"
"Brianna","357","13"
"Eadaoin","357","13"
"Aaliyah","357","13"
"Marie","357","13"
"Keela","357","13"
"Maebh","357","13"
"Avril","357","13"
"Kiera","357","13"
"Alexa","357","13"
"Anne","357","13"
"Nancy","357","13"
"Pearl","357","13"
"Teegan","357","13"
"Kaya","357","13"
"Emelia","357","13"
"Ellie-Mae","357","13"
"Leona","374","12"
"Abi","374","12"
"Rachael","374","12"
"Kellie","374","12"
"Cliona","374","12"
"Lea","374","12"
"Ally","374","12"
"Weronika","374","12"
"Ana","374","12"
"Kamile","374","12"
"Lucie","374","12"
"Gracie","374","12"
"Jenny","374","12"
"Eileen","374","12"
"Iseult","374","12"
"Louisa","374","12"
"Magdalena","374","12"
"Kacie","374","12"
"Polly","374","12"
"Kitty","374","12"
"Edith","374","12"
"Emmie","374","12"
"Indie","374","12"
"Kourtney","374","12"
"Viktoria","374","12"
"Martyna","399","11"
"Kyra","399","11"
"Meadhbh","399","11"
"Ailish","399","11"
"India","399","11"
"Serena","399","11"
"Rosa","399","11"
"Angela","399","11"
"Lauryn","399","11"
"Madeleine","399","11"
"Daniela","399","11"
"Laragh","399","11"
"Elisa","399","11"
"Kyla","399","11"
"Addison","399","11"
"Maryam","399","11"
"Bianca","399","11"
"Cait","399","11"
"Eliana","399","11"
"Penelope","399","11"
"Maddison","399","11"
"Arwen","399","11"
"Emmy","399","11"
"Kenzie","399","11"
"Sonia","399","11"
"Heather","424","10"
"Natasha","424","10"
"Tegan","424","10"
"Patricia","424","10"
"Gabija","424","10"
"Jill","424","10"
"Jorja","424","10"
"Nikita","424","10"
"Daniella","424","10"
"Melanie","424","10"
"Beatrice","424","10"
"Cerys","424","10"
"Gabriele","424","10"
"Lillie","424","10"
"Samanta","424","10"
"Alexia","424","10"
"Adele","424","10"
"Aliyah","424","10"
"Amira","424","10"
"Gloria","424","10"
"Lyla","424","10"
"Mae","424","10"
"Elaina","424","10"
"Gwen","424","10"
"Kaja","424","10"
"Lainey","424","10"
"May","424","10"
"Eden","424","10"
"Lilia","424","10"
"Aurora","424","10"
"Blanka","424","10"
"Ieva","424","10"
"Juno","424","10"
"Lacie","424","10"
"Leja","424","10"
"Christina","459","9"
"Nadine","459","9"
"Courtney","459","9"
"Keeley","459","9"
"Chantelle","459","9"
"Elle","459","9"
"Shania","459","9"
"Joy","459","9"
"Caitlyn","459","9"
"Dominika","459","9"
"Jamie","459","9"
"Marta","459","9"
"Johanna","459","9"
"Adriana","459","9"
"Edie","459","9"
"Agata","459","9"
"Hayleigh","459","9"
"Paula","459","9"
"Aileen","459","9"
"Alessia","459","9"
"Juliana","459","9"
"Katarzyna","459","9"
"Lidia","459","9"
"Adelina","459","9"
"Bailey","459","9"
"Carragh","459","9"
"Croia","459","9"
"Elina","459","9"
"Indi","459","9"
"Ines","459","9"
"Kya","459","9"
"Priya","459","9"
"Gabrielle","491","8"
"Elisha","491","8"
"Rihanna","491","8"
"Josephine","491","8"
"Yasmine","491","8"
"Carrie","491","8"
"Deborah","491","8"
"Kathryn","491","8"
"Tiffany","491","8"
"Mikayla","491","8"
"Evelina","491","8"
"Vanesa","491","8"
"Jean","491","8"
"Milly","491","8"
"Teresa","491","8"
"Elaine","491","8"
"Kira","491","8"
"Denisa","491","8"
"Eireann","491","8"
"Estera","491","8"
"Georgina","491","8"
