"Name","Rank","Number of Births"
"Emily","1","490"
"Grace","2","452"
"Ava","3","388"
"Lucy","3","388"
"Sophie","5","369"
"Amelia","5","369"
"Emma","7","365"
"Mia","8","357"
"Hannah","9","351"
"Lily","10","334"
"Ella","11","331"
"Saoirse","12","324"
"Olivia","13","303"
"Kate","14","302"
"Aoife","15","300"
"Sarah","16","290"
"Chloe","17","288"
"Anna","17","288"
"Caoimhe","19","256"
"Ellie","20","254"
"Katie","21","251"
"Sophia","22","243"
"Holly","23","239"
"Fiadh","24","235"
"Lauren","25","224"
"Zoe","26","219"
"Molly","27","210"
"Isabelle","28","202"
"Robyn","29","201"
"Leah","30","191"
"Sadie","31","190"
"Roisin","32","186"
"Ruby","32","186"
"Cara","34","181"
"Alice","34","181"
"Freya","36","168"
"Eva","37","166"
"Erin","38","165"
"Ciara","39","158"
"Evie","39","158"
"Niamh","41","157"
"Sofia","42","156"
"Charlotte","43","151"
"Layla","44","135"
"Amy","45","133"
"Eabha","45","133"
"Faye","47","132"
"Jessica","48","131"
"Julia","49","128"
"Eve","49","128"
"Clodagh","51","127"
"Abigail","52","114"
"Isla","53","113"
"Laura","54","112"
"Maria","55","109"
"Maya","55","109"
"Sadhbh","57","108"
"Zara","57","108"
"Amber","59","107"
"Millie","59","107"
"Emilia","59","107"
"Isabella","62","103"
"Aoibhinn","63","100"
"Ellen","64","99"
"Abbie","65","97"
"Elizabeth","65","97"
"Clara","65","97"
"Harper","65","97"
"Alannah","69","96"
"Kayla","70","92"
"Sienna","71","91"
"Willow","72","90"
"Megan","73","89"
"Rachel","74","87"
"Rebecca","75","86"
"Maisie","75","86"
"Aisling","77","84"
"Rose","77","84"
"Aine","79","83"
"Aoibheann","80","82"
"Annie","81","81"
"Meabh","82","72"
"Heidi","82","72"
"Mary","84","70"
"Lilly","84","70"
"Mila","84","70"
"Georgia","87","68"
"Rosie","87","68"
"Daisy","89","67"
"Victoria","90","65"
"Alexandra","91","64"
"Ailbhe","91","64"
"Lara","93","63"
"Mollie","94","61"
"Orla","95","60"
"Isabel","95","60"
"Sara","97","58"
"Matilda","97","58"
"Zoey","97","58"
"Aria","97","58"
"Nicole","101","57"
"Muireann","101","57"
"Lena","101","57"
"Evelyn","101","57"
"Hazel","105","56"
"Madison","105","56"
"Hanna","105","56"
"Lola","105","56"
"Poppy","105","56"
"Aoibhe","110","54"
"Esme","110","54"
"Penny","110","54"
"Pippa","110","54"
"Alison","114","53"
"Bella","114","53"
"Tara","116","52"
"Brooke","116","52"
"Maja","116","52"
"Mya","116","52"
"Paige","116","52"
"Caitlin","121","50"
"Eimear","121","50"
"Zofia","121","50"
"Lexi","121","50"
"Alicja","121","50"
"Hollie","126","48"
"Cora","127","47"
"Doireann","128","46"
"Aimee","129","45"
"Jasmine","129","45"
"Ruth","129","45"
"Elsie","129","45"
"Alanna","133","44"
"Natalia","133","44"
"Siun","133","44"
"Phoebe","133","44"
"Maeve","137","43"
"Lucia","137","43"
"Darcy","137","43"
"Orlaith","140","42"
"Elena","140","42"
"Nina","140","42"
"Annabelle","140","42"
"Zuzanna","144","41"
"Eleanor","145","39"
"Fia","145","39"
"Ivy","145","39"
"Jennifer","148","38"
"Hayley","148","38"
"Jane","150","37"
"Laoise","150","37"
"Aoibhin","150","37"
"Alicia","153","36"
"Naoise","153","36"
"Nora","153","36"
"Katelyn","156","35"
"Isobel","156","35"
"Michaela","156","35"
"Juliette","156","35"
"Eliza","156","35"
"Bonnie","156","35"
"Lacey","156","35"
"Shauna","163","34"
"Ariana","163","34"
"Florence","163","34"
"Siofra","166","33"
"April","166","33"
"Ada","166","33"
"Liliana","166","33"
