"Name","Rank","Number of Births"
"Jack","1","1068"
"Sean","2","934"
"Daniel","3","842"
"Conor","4","776"
"James","5","711"
"Ryan","6","641"
"Adam","7","618"
"Alex","8","503"
"Luke","9","501"
"Michael","10","499"
"Dylan","11","480"
"Cian","12","469"
"Jamie","13","466"
"Darragh","14","465"
"Liam","15","457"
"Aaron","16","444"
"Oisin","17","423"
"Thomas","18","411"
"Patrick","19","399"
"Eoin","20","368"
"John","21","346"
"Cillian","21","346"
"Matthew","23","343"
"Evan","24","333"
"David","25","326"
"Ben","26","324"
"Charlie","27","312"
"Harry","28","305"
"Callum","29","301"
"Shane","30","260"
"Joshua","30","260"
"Nathan","32","253"
"Mark","33","250"
"Fionn","34","249"
"Jake","35","248"
"Joseph","36","247"
"Samuel","37","238"
"Ronan","38","225"
"Eoghan","39","223"
"Kyle","40","216"
"Noah","41","211"
"Tadhg","42","206"
"Sam","43","204"
"Robert","44","203"
"Ethan","45","200"
"Aidan","46","197"
"Cathal","47","195"
"Finn","48","187"
"Jayden","49","182"
"Alexander","50","179"
"Kevin","51","175"
"Rory","52","172"
"Leon","52","172"
"Ciaran","54","170"
"William","55","166"
"Max","56","164"
"Jakub","57","160"
"Andrew","58","159"
"Cormac","58","159"
"Rian","60","151"
"Christopher","61","143"
"Oliver","62","141"
"Tom","63","139"
"Alan","64","138"
"Josh","65","133"
"Oscar","66","132"
"Peter","67","128"
"Benjamin","68","115"
"Brian","69","113"
"Niall","69","113"
"Scott","71","112"
"Jason","72","109"
"Killian","73","108"
"Martin","74","107"
"Rhys","74","107"
"Dara","76","106"
"Stephen","77","105"
"Paul","78","104"
"Lucas","79","103"
"Anthony","80","100"
"Tomas","81","99"
"Dean","82","98"
"Odhran","82","98"
"Ross","84","97"
"Senan","85","96"
"Bobby","85","96"
"Filip","87","95"
"Ruairi","88","93"
"Gavin","89","91"
"Lee","90","88"
"Oran","91","87"
"Calum","92","82"
"Hugh","92","82"
"Lorcan","92","82"
"Kian","95","79"
"Kacper","95","79"
"Christian","97","78"
"Shay","97","78"
"Charles","99","77"
"Daragh","99","77"
"Patryk","99","77"
"Szymon","99","77"
"Colm","103","76"
"Edward","104","75"
"Padraig","104","75"
"Cameron","104","75"
"Louis","107","72"
"Daire","108","70"
"Cody","108","70"
"Mateusz","108","70"
"Jacob","111","69"
"Leo","112","68"
"Alfie","112","68"
"Billy","114","67"
"Adrian","114","67"
"Donnacha","116","66"
"Jonathan","117","65"
"Tristan","118","64"
"Zach","119","63"
"Owen","119","63"
"Isaac","121","62"
"Connor","121","62"
"Colin","123","61"
"Daithi","124","60"
"Dawid","124","60"
"Brandon","126","59"
"Micheal","126","59"
"Lewis","126","59"
"Hugo","129","58"
"Tyler","130","57"
"George","131","56"
"Darren","132","54"
"Sebastian","133","53"
"Jay","133","53"
"Oskar","133","53"
"Tiernan","136","52"
"Eric","137","51"
"Joe","137","51"
"Richard","139","50"
"Philip","140","48"
"Dominik","140","48"
"Gabriel","140","48"
"Reece","143","47"
"Corey","143","47"
"Wiktor","143","47"
"Danny","146","46"
"Seamus","146","46"
"Ewan","148","45"
"Kieran","149","44"
"Muhammad","149","44"
"Michal","149","44"
"Diarmuid","152","43"
"Tadgh","152","43"
"Reuben","152","43"
"Luca","155","41"
"Steven","156","40"
"Donal","156","40"
"Logan","156","40"
"Denis","159","39"
"Calvin","159","39"
"Paddy","159","39"
"Aleksander","159","39"
"Jan","163","38"
"Jude","163","38"
"Morgan","163","38"
"Tommy","166","37"
"Brendan","167","36"
"Zack","168","35"
"Bartosz","168","35"
"Keelan","170","34"
"Gearoid","170","34"
"Kai","170","34"
"Craig","173","33"
"Simon","173","33"
"Henry","173","33"
"Ian","173","33"
"Caleb","177","32"
"Declan","177","32"
"Hayden","177","32"
"Fiachra","177","32"
"Donncha","177","32"
"Emmanuel","177","32"
"Antoni","177","32"
"Marcel","177","32"
"Karl","185","31"
"Nicholas","185","31"
"Keith","185","31"
"Conall","185","31"
"Dillon","185","31"
"Eanna","185","31"
"Emmet","185","31"
"Gary","185","31"
"Theo","185","31"
"Jonah","185","31"
"Kayden","185","31"
"Mikolaj","196","30"
"Lukas","196","30"
"Igor","196","30"
"Oliwier","196","30"
"Brody","196","30"
"Jordan","201","29"
"Nikodem","201","29"
"Damian","201","29"
"Euan","204","28"
"Maciej","204","28"
"Maksymilian","204","28"
"Zac","204","28"
"Eli","204","28"
"Elliot","209","27"
"Joey","209","27"
"Aodhan","209","27"
"Aiden","209","27"
"Franciszek","209","27"
"Gerard","214","26"
"Marcus","214","26"
"Marc","214","26"
"Timothy","214","26"
"Nicolas","214","26"
"Riley","214","26"
"Caolan","220","25"
"Barry","220","25"
"Riain","220","25"
"Arthur","220","25"
"Dominic","220","25"
"Conan","220","25"
"Piotr","220","25"
"Shaun","227","24"
"Bradley","227","24"
"Lennon","227","24"
"Donagh","227","24"
"Francis","227","24"
"Ruben","227","24"
"Vincent","233","23"
"Troy","233","23"
"Zachary","233","23"
"Olivier","233","23"
"Ruadhan","233","23"
"Roan","233","23"
"Archie","233","23"
