"Name","Rank","Number of Births"
"Emily","1","596"
"Sophie","2","582"
"Emma","3","562"
"Grace","4","503"
"Lily","5","496"
"Sarah","6","466"
"Lucy","7","463"
"Ava","8","446"
"Chloe","9","437"
"Katie","10","436"
"Ella","11","434"
"Mia","12","400"
"Aoife","13","399"
"Caoimhe","14","398"
"Kate","15","350"
"Leah","15","350"
"Hannah","17","349"
"Anna","18","348"
"Saoirse","19","339"
"Ruby","20","323"
"Kayla","21","306"
"Lauren","22","305"
"Holly","23","297"
"Ellie","24","293"
"Amy","25","289"
"Ciara","26","284"
"Isabelle","27","265"
"Olivia","28","252"
"Sophia","29","251"
"Niamh","30","249"
"Jessica","31","246"
"Amelia","32","235"
"Molly","33","229"
"Roisin","34","223"
"Julia","35","213"
"Laura","36","212"
"Zoe","37","204"
"Megan","38","203"
"Rachel","39","196"
"Rebecca","40","195"
"Aisling","41","183"
"Nicole","42","176"
"Abbie","43","174"
"Clodagh","44","168"
"Eve","45","164"
"Robyn","46","163"
"Ellen","47","159"
"Erin","47","159"
"Faye","49","156"
"Cara","50","155"
"Isabella","51","154"
"Eva","52","152"
"Abigail","53","139"
"Maria","54","134"
"Layla","54","134"
"Sadhbh","56","132"
"Maja","57","131"
"Aine","58","130"
"Sofia","58","130"
"Aoibhinn","60","128"
"Freya","60","128"
"Alannah","62","122"
"Charlotte","62","122"
"Eabha","64","121"
"Caitlin","65","116"
"Alice","66","115"
"Elizabeth","67","108"
"Amber","68","107"
"Mary","69","106"
"Aoibheann","69","106"
"Isabel","71","101"
"Millie","72","97"
"Zuzanna","73","94"
"Tara","74","92"
"Orla","74","92"
"Aimee","74","92"
"Maya","74","92"
"Katelyn","78","91"
"Sara","78","91"
"Michaela","78","91"
"Lilly","78","91"
"Brooke","82","90"
"Zara","82","90"
"Eimear","84","89"
"Lena","85","83"
"Ruth","86","82"
"Aoibhe","87","81"
"Muireann","87","81"
"Madison","89","80"
"Clara","90","79"
"Emilia","91","77"
"Shauna","92","75"
"Meabh","92","75"
"Sinead","94","73"
"Victoria","94","73"
"Lexi","96","72"
"Kayleigh","97","71"
"Alexandra","97","71"
"Isobel","97","71"
"Daisy","100","68"
"Lara","101","67"
"Taylor","102","66"
"Maisie","102","66"
"Hollie","104","64"
"Orlaith","105","62"
"Laoise","106","61"
"Alicia","107","59"
"Natalia","107","59"
"Doireann","109","58"
"Georgia","109","58"
"Annie","111","57"
"Hanna","111","57"
"Catherine","113","56"
"Rose","113","56"
"Aleksandra","113","56"
"Shannon","116","55"
"Jasmine","116","55"
"Siofra","116","55"
"Gabriela","119","54"
"Jennifer","120","53"
"Vanessa","120","53"
"Amelie","120","53"
"Heidi","120","53"
"Jane","124","52"
"Evie","124","52"
