"Name","Rank","Number of Births"
"Jack","1","935"
"Sean","2","827"
"Daniel","3","792"
"James","4","746"
"Conor","5","726"
"Ryan","6","669"
"Adam","7","581"
"Alex","8","551"
"Luke","9","519"
"Dylan","10","491"
"Jamie","11","468"
"Michael","12","463"
"Aaron","13","439"
"Cian","14","424"
"Liam","15","412"
"Darragh","16","409"
"Oisin","17","401"
"Patrick","18","387"
"Charlie","19","376"
"Harry","20","364"
"Cillian","21","351"
"Thomas","22","347"
"Matthew","23","344"
"John","24","343"
"David","25","332"
"Noah","26","315"
"Evan","27","314"
"Ben","28","305"
"Eoin","29","299"
"Jake","30","297"
"Nathan","30","297"
"Callum","32","293"
"Shane","33","277"
"Ethan","34","272"
"Fionn","35","265"
"Joshua","36","259"
"Kyle","37","232"
"Joseph","38","227"
"Samuel","38","227"
"Tadhg","40","221"
"Sam","41","210"
"Cathal","42","202"
"Robert","43","198"
"Mark","44","195"
"Jayden","45","193"
"Finn","46","191"
"William","47","190"
"Aidan","48","187"
"Max","48","187"
"Ronan","50","180"
"Alexander","51","177"
"Oliver","52","172"
"Ciaran","53","166"
"Rian","54","161"
"Eoghan","55","160"
"Rory","56","155"
"Leon","57","154"
"Andrew","58","139"
"Cormac","58","139"
"Jakub","60","136"
"Oscar","61","135"
"Killian","62","127"
"Tom","62","127"
"Bobby","62","127"
"Benjamin","65","126"
"Rhys","65","126"
"Kevin","67","120"
"Alan","68","117"
"Christopher","69","116"
"Josh","69","116"
"Filip","71","113"
"Scott","72","109"
"Dara","72","109"
"Senan","74","103"
"Jason","75","100"
"Jacob","75","100"
"Odhran","75","100"
"Oran","78","99"
"Lucas","78","99"
"Tyler","78","99"
"Shay","78","99"
"Brian","82","98"
"Lee","82","98"
"Peter","84","96"
"Martin","85","95"
"Anthony","86","92"
"Tomas","86","92"
"Stephen","88","91"
"Ruairi","88","91"
"Paul","90","89"
"Niall","91","84"
"Sebastian","92","81"
"Daithi","93","79"
"Calum","94","78"
"Leo","94","78"
"Patryk","96","76"
"Cameron","97","75"
"Lorcan","97","75"
"Alfie","99","74"
"Edward","100","73"
"Daire","100","73"
"Donnacha","102","72"
"Dominik","103","71"
"Padraig","104","70"
"Dean","105","69"
"Ross","105","69"
"Zach","105","69"
"Kacper","105","69"
"Mateusz","109","68"
"Diarmuid","110","67"
"Charles","110","67"
"Adrian","110","67"
"Isaac","113","66"
"Christian","114","63"
"Brandon","114","63"
"Reece","114","63"
"Jonathan","114","63"
"Tristan","114","63"
"Danny","114","63"
"Gavin","120","62"
"Szymon","120","62"
"Richard","122","61"
"Owen","122","61"
"Billy","122","61"
"Gabriel","122","61"
"Kian","126","60"
"Hugh","126","60"
"Louis","128","59"
"Darren","128","59"
"Tiernan","128","59"
"Mason","128","59"
"Eric","132","58"
"Joe","132","58"
"Cody","132","58"
"Corey","135","57"
"Calvin","135","57"
"Connor","137","56"
"Dawid","137","56"
"George","139","55"
"Jan","139","55"
"Logan","141","53"
"Kieran","142","52"
"Henry","142","52"
"Colin","144","51"
"Zack","145","50"
"Hugo","145","50"
"Luca","147","49"
"Oskar","147","49"
"Kai","147","49"
"Marcel","150","48"
"Wiktor","150","48"
"Colm","152","47"
"Philip","152","47"
"Brendan","154","46"
"Muhammad","154","46"
"Micheal","156","45"
"Nicholas","156","45"
"Jay","156","45"
"Daragh","159","44"
"Keelan","160","43"
"Tommy","160","43"
"Lewis","160","43"
"Tadgh","163","42"
"Riley","163","42"
"Paddy","165","41"
"Eanna","165","41"
"Reuben","165","41"
"Michal","165","41"
"Conall","169","40"
"Aleksander","169","40"
"Craig","171","39"
"Gearoid","171","39"
"Ewan","171","39"
"Simon","174","37"
"Seamus","174","37"
"Morgan","174","37"
"Kayden","174","37"
"Denis","178","36"
"Marcus","178","36"
"Arthur","178","36"
"Antoni","178","36"
"Maksymilian","178","36"
"Justin","183","35"
"Timothy","183","35"
"Donal","183","35"
"Caleb","186","34"
"Hayden","186","34"
"Nicolas","186","34"
"Declan","189","33"
"Mikolaj","189","33"
"Lukas","189","33"
