"Name","Rank","Number of Births"
"Jack","1","786"
"James","2","695"
"Daniel","3","638"
"Conor","4","581"
"Sean","5","526"
"Adam","6","493"
"Luke","7","437"
"Noah","8","434"
"Harry","9","398"
"Charlie","10","389"
"Dylan","11","384"
"Alex","12","383"
"Oisin","13","381"
"Michael","14","379"
"Liam","15","378"
"Ryan","16","373"
"Thomas","17","362"
"Cian","18","361"
"Patrick","19","358"
"Cillian","20","350"
"Darragh","21","347"
"Jamie","22","328"
"David","23","306"
"Aaron","24","303"
"John","25","293"
"Fionn","26","270"
"Jake","27","263"
"Matthew","28","260"
"Nathan","29","255"
"Ben","30","252"
"Ethan","31","234"
"Evan","32","224"
"Finn","32","224"
"Kyle","34","222"
"Rian","35","215"
"Callum","36","214"
"Alexander","37","211"
"Joshua","38","203"
"Max","39","201"
"Oliver","40","199"
"Joseph","41","197"
"Sam","42","195"
"Samuel","43","193"
"Mason","44","187"
"Tom","45","185"
"Eoin","46","179"
"Oscar","46","179"
"Tadhg","48","177"
"Jacob","49","170"
"William","50","165"
"Aidan","51","159"
"Robert","52","154"
"Jayden","53","153"
"Leon","54","152"
"Bobby","54","152"
"Eoghan","56","142"
"Leo","56","142"
"Shane","58","141"
"Alfie","58","141"
"Senan","60","140"
"Ciaran","61","137"
"Andrew","61","137"
"Benjamin","63","134"
"Ronan","64","131"
"Mark","65","129"
"Rory","66","124"
"Odhran","66","124"
"Scott","68","122"
"Cathal","69","121"
"Tommy","69","121"
"Logan","71","115"
"Christopher","72","114"
"Kai","73","111"
"Lucas","74","110"
"Tyler","75","103"
"Cormac","76","102"
"Peter","77","101"
"Isaac","77","101"
"Danny","79","100"
"Killian","80","99"
"Dara","80","99"
"Kevin","82","98"
"Shay","83","97"
"Josh","84","94"
"Jakub","84","94"
"Donnacha","86","92"
"Sebastian","87","91"
"Ollie","87","91"
"Anthony","89","89"
"Tomas","90","86"
"Niall","91","85"
"Henry","91","85"
"Ruairi","93","84"
"Alan","94","82"
"Martin","95","81"
"Billy","95","81"
"Rhys","97","80"
"Hugo","97","80"
"Luca","99","78"
"Oran","100","76"
"Lorcan","100","76"
"Daithi","102","74"
"Jason","103","72"
"Kian","103","72"
"George","103","72"
"Edward","106","71"
"Hugh","106","71"
"Kayden","106","71"
"Brian","109","70"
"Muhammad","110","68"
"Filip","111","67"
"Louis","112","65"
"Zach","112","65"
"Daire","114","64"
"Blake","114","64"
"Joey","114","64"
"Ross","117","63"
"Kacper","117","63"
"Riley","119","60"
"Stephen","120","59"
"Brody","121","58"
"Antoni","122","57"
"Charles","123","56"
"Theo","123","56"
"Padraig","125","55"
"Paul","126","54"
"Lewis","127","52"
"Eli","127","52"
"Cameron","129","50"
"Cody","129","50"
"Adrian","129","50"
"Colm","132","48"
"Conall","132","48"
"Harrison","132","48"
"Archie","132","48"
"Gavin","136","47"
"Eric","136","47"
"Nicholas","136","47"
"Seamus","136","47"
"Joe","136","47"
"Reuben","136","47"
"Dominik","136","47"
"Arthur","136","47"
"Jonathan","144","46"
"Tristan","144","46"
"Corey","144","46"
"Philip","147","45"
"Richard","148","44"
"Denis","148","44"
"Marcel","148","44"
"Christian","151","43"
"Brandon","151","43"
"Micheal","151","43"
"Zack","151","43"
"Freddie","151","43"
"Frankie","151","43"
"Lee","157","42"
"Dean","157","42"
"Calvin","157","42"
"Flynn","157","42"
"Tiernan","161","41"
"Gabriel","161","41"
"Zachary","161","41"
"Gerard","164","40"
"Caleb","164","40"
"Jan","164","40"
"Leighton","164","40"
"Darren","168","38"
"Bradley","168","38"
"Harvey","168","38"
