"Name","Rank","Number of Births"
"Jack","1","764"
"James","2","746"
"Daniel","3","678"
"Conor","4","610"
"Sean","5","609"
"Adam","6","518"
"Ryan","7","459"
"Michael","8","432"
"Harry","9","430"
"Noah","10","418"
"Thomas","11","412"
"Alex","12","406"
"Luke","13","403"
"Oisin","14","392"
"Charlie","15","383"
"Patrick","16","369"
"Cian","17","368"
"Darragh","18","365"
"Liam","18","365"
"Dylan","20","360"
"Jamie","21","359"
"Matthew","22","323"
"Cillian","23","322"
"Aaron","24","320"
"Fionn","25","304"
"Jake","26","295"
"John","27","287"
"David","28","262"
"Ben","29","253"
"Finn","30","246"
"Nathan","31","236"
"Kyle","32","228"
"Samuel","33","217"
"Evan","34","214"
"Max","35","213"
"Ethan","36","211"
"Rian","37","208"
"Joseph","38","207"
"Alexander","39","202"
"Mason","40","201"
"Oliver","41","199"
"Joshua","42","198"
"William","43","195"
"Eoin","44","194"
"Jayden","45","191"
"Oscar","46","184"
"Callum","47","181"
"Aidan","48","179"
"Tom","49","178"
"Robert","50","175"
"Tadhg","51","166"
"Sam","51","166"
"Jacob","53","158"
"Cathal","54","156"
"Shane","55","151"
"Leon","56","149"
"Mark","57","148"
"Senan","58","147"
"Bobby","59","146"
"Ronan","60","143"
"Andrew","60","143"
"Eoghan","62","132"
"Leo","63","131"
"Lucas","64","130"
"Rory","65","126"
"Alfie","66","120"
"Tyler","67","116"
"Cormac","68","115"
"Benjamin","68","115"
"Scott","70","114"
"Christopher","71","112"
"Odhran","72","111"
"Kevin","73","108"
"Ciaran","74","107"
"Dara","75","106"
"Alan","76","104"
"Shay","76","104"
"Tommy","78","101"
"Anthony","79","100"
"Logan","79","100"
"Jakub","81","99"
"Rhys","82","98"
"Tomas","83","93"
"Donnacha","84","91"
"Kai","85","90"
"Stephen","86","89"
"Killian","87","88"
"Niall","88","87"
"Jason","89","86"
"Josh","90","83"
"Kayden","91","82"
"Brian","92","81"
"Martin","92","81"
"Ruairi","92","81"
"Isaac","95","80"
"Edward","96","77"
"Danny","96","77"
"Oran","98","73"
"Hugh","98","73"
"Sebastian","98","73"
"Peter","101","70"
"Ross","102","69"
