"Name","Rank","Number of Births"
"Emily","1","626"
"Emma","2","449"
"Ava","3","421"
"Sophie","4","407"
"Amelia","5","400"
"Ella","6","384"
"Lucy","7","379"
"Grace","8","367"
"Chloe","9","362"
"Mia","10","360"
"Lily","11","341"
"Hannah","12","338"
"Aoife","13","321"
"Sarah","14","297"
"Anna","14","297"
"Olivia","14","297"
"Kate","17","283"
"Saoirse","18","282"
"Lauren","19","265"
"Caoimhe","20","252"
"Sophia","21","251"
"Katie","22","247"
"Robyn","23","237"
"Ellie","24","233"
"Roisin","25","226"
"Isabelle","26","224"
"Ruby","27","211"
"Holly","28","208"
"Ciara","29","205"
"Zoe","30","204"
"Molly","31","202"
"Sadie","32","198"
"Freya","33","188"
"Leah","34","187"
"Fiadh","35","186"
"Amy","36","185"
"Cara","36","185"
"Jessica","38","160"
"Eva","39","159"
"Alice","40","150"
"Sofia","41","144"
"Niamh","42","143"
"Rachel","43","140"
"Faye","44","139"
"Erin","45","136"
"Isabella","46","135"
"Layla","46","135"
"Laura","48","133"
"Eve","48","133"
"Clodagh","50","130"
"Julia","50","130"
"Eabha","52","126"
"Sadhbh","53","123"
"Maria","54","119"
"Evie","54","119"
"Ellen","56","117"
"Abigail","56","117"
"Charlotte","58","110"
"Amber","59","108"
"Elizabeth","60","106"
"Aine","61","105"
"Rebecca","62","104"
"Millie","62","104"
"Emilia","64","103"
"Megan","65","102"
"Maya","66","101"
"Aoibhinn","67","100"
"Kayla","68","98"
"Abbie","69","97"
"Zara","69","97"
"Clara","71","96"
"Sienna","71","96"
"Isla","73","94"
"Mary","74","91"
"Rose","75","90"
"Nicole","76","86"
"Alannah","77","83"
"Alexandra","78","82"
"Lena","78","82"
"Lilly","80","81"
"Aisling","81","80"
"Maisie","82","79"
"Aoibheann","83","78"
"Meabh","83","78"
"Annie","83","78"
"Hanna","86","76"
"Annabelle","86","76"
"Mila","88","72"
"Sara","89","71"
"Madison","89","71"
"Victoria","91","69"
"Maja","91","69"
"Rosie","91","69"
"Eimear","94","67"
"Hollie","94","67"
"Lexi","94","67"
"Caitlin","97","66"
"Lara","97","66"
"Tara","99","65"
"Georgia","100","64"
"Hazel","101","63"
"Bella","102","61"
"Harper","102","61"
"Orlaith","104","60"
"Isabel","105","59"
"Ailbhe","106","58"
"Laoise","106","58"
"Nina","106","58"
"Orla","109","57"
"Lola","109","57"
"Mollie","109","57"
"Heidi","109","57"
"Aoibhe","113","56"
"Brooke","113","56"
"Daisy","113","56"
"Pippa","113","56"
"Aria","113","56"
"Maia","118","55"
"Phoebe","119","54"
"Mya","120","53"
"Paige","121","52"
"Willow","121","52"
"Katelyn","123","51"
"Zuzanna","123","51"
"Zoey","123","51"
"Liliana","123","51"
"Maeve","127","50"
"Ruth","127","50"
"Natalia","127","50"
"Beth","127","50"
"Evelyn","127","50"
"Siun","132","48"
"Aimee","133","47"
"Bonnie","133","47"
"Poppy","135","46"
"Isobel","136","45"
"Eliza","137","44"
"Esme","137","44"
"Shauna","139","43"
"Jasmine","139","43"
"Muireann","139","43"
"Darcie","139","43"
"Kayleigh","143","42"
"Doireann","144","41"
"Keeva","144","41"
"Elena","146","40"
"Matilda","146","40"
"Darcy","146","40"
"Zofia","146","40"
"Penny","146","40"
"Alison","151","39"
"Nadia","151","39"
"Lucia","153","38"
"Alicja","153","38"
"Lacey","153","38"
"Alanna","156","37"
"Vanessa","156","37"
"Aoibhin","156","37"
"Ariana","156","37"
"Alicia","160","36"
"Jade","160","36"
"Amelie","160","36"
"Elsie","160","36"
"Ivy","160","36"
"Jane","165","35"
"Naomi","165","35"
"Margaret","165","35"
"Kara","165","35"
"Fia","165","35"
"Taylor","170","34"
"Martha","170","34"
"Catherine","172","33"
"Eleanor","172","33"
"Cora","172","33"
"Alyssa","172","33"
"Gabriela","172","33"
"Grainne","177","32"
"Kathleen","177","32"
"April","177","32"
"Jennifer","180","31"
"Alana","180","31"
"Teagan","180","31"
"Summer","180","31"
"Ada","180","31"
"Michaela","185","30"
"Claire","185","30"
"Carly","185","30"
"Scarlett","185","30"
"Farrah","185","30"
"Edith","185","30"
"Florence","185","30"
"Sinead","192","29"
"Erica","192","29"
"Juliette","192","29"
"Nessa","192","29"
"Elise","192","29"
"Hayley","197","28"
"Faith","197","28"
"Michelle","199","27"
"Nora","199","27"
"Natalie","199","27"
"Lana","199","27"
"Khloe","199","27"
"Abby","204","26"
"Naoise","204","26"
"Maggie","204","26"
"Skye","204","26"
"Pola","204","26"
"Hailey","204","26"
"Casey","210","25"
"Sally","210","25"
"Allie","210","25"
"Tess","210","25"
"Vivienne","210","25"
"Una","215","24"
"Beatrice","215","24"
"Tessa","215","24"
"Roise","215","24"
"Milena","215","24"
"Callie","215","24"
"Nevaeh","215","24"
"Shannon","222","23"
"Nicola","222","23"
"Siofra","222","23"
"Wiktoria","222","23"
"Cassie","222","23"
"Helen","222","23"
"Kyra","222","23"
"Sadbh","222","23"
"Gracie","222","23"
"Arianna","222","23"
"Eloise","222","23"
"Oliwia","233","22"
"Sorcha","233","22"
"Abbey","233","22"
"Lexie","233","22"
"Maebh","233","22"
"Alexa","233","22"
"Darcey","233","22"
"Gabriella","233","22"
"Mackenzie","233","22"
"Maddison","233","22"
"Priya","233","22"
"Alex","244","21"
"Danielle","244","21"
"Bridget","244","21"
"Cliodhna","244","21"
"Helena","244","21"
"Nikola","244","21"
"Juliet","244","21"
"Neasa","244","21"
"Rhea","244","21"
"Savannah","244","21"
"Jessie","244","21"
"Thea","244","21"
"Antonia","244","21"
"Elodie","244","21"
"Alisha","258","20"
"Tori","258","20"
"Julie","258","20"
"Jenna","258","20"
"Riona","258","20"
"Lydia","258","20"
"Kaitlyn","264","19"
"Melissa","264","19"
"Stephanie","264","19"
"Caragh","264","19"
"Stella","264","19"
"Ayla","264","19"
"Aoibh","264","19"
"Pearl","264","19"
"Penelope","264","19"
"Belle","264","19"
"Maci","264","19"
"Siomha","264","19"
"Heather","276","18"
"Libby","276","18"
"Claudia","276","18"
"Demi","276","18"
"Blaithin","276","18"
"Cadhla","276","18"
"Lauryn","276","18"
"Adriana","276","18"
"Lillie","276","18"
"Nancy","276","18"
"Ema","276","18"
"Saorla","276","18"
"Elsa","276","18"
"Hallie","276","18"
"Indie","276","18"
"Emer","291","17"
"Siobhan","291","17"
"Keira","291","17"
"Moya","291","17"
"Ann","291","17"
"Lea","291","17"
"Samantha","291","17"
"Annabel","291","17"
"Rosa","291","17"
"Anastasia","291","17"
"Lillian","291","17"
"Darci","291","17"
"Saibh","291","17"
"Lottie","291","17"
"Skylar","291","17"
"Leona","306","16"
"Andrea","306","16"
"Ali","306","16"
"Carla","306","16"
"Kelsey","306","16"
"Amanda","306","16"
"Bronagh","306","16"
"Robin","306","16"
"Kaylee","306","16"
"Quinn","306","16"
"Gemma","316","15"
"Lisa","316","15"
"Rachael","316","15"
"Aleksandra","316","15"
"Christina","316","15"
"Brianna","316","15"
"Sasha","316","15"
"Kacey","316","15"
"Katherine","316","15"
"Diana","316","15"
"Marie","316","15"
"Ally","316","15"
"Beibhinn","316","15"
"Lia","316","15"
"Ana","316","15"
"Alesha","316","15"
"Laila","316","15"
"Leila","316","15"
"Charlie","316","15"
"Ria","316","15"
"Iseult","316","15"
"Connie","316","15"
"Eliana","316","15"
"Kaja","316","15"
"Alina","316","15"
"Eden","316","15"
"Barbara","316","15"
"Frankie","316","15"
"Riley","316","15"
"Shona","345","14"
"Fatima","345","14"
"Caroline","345","14"
"Sandra","345","14"
"Mairead","345","14"
"Erika","345","14"
"Aisha","345","14"
"Emilie","345","14"
"Esther","345","14"
"Emilija","345","14"
"Luna","345","14"
"Klara","345","14"
"Bianca","345","14"
"Kornelia","345","14"
"Alexis","345","14"
"Maisy","345","14"
"Maddie","345","14"
"Fiona","362","13"
"Chelsea","362","13"
"Keelin","362","13"
"Aideen","362","13"
"Joanna","362","13"
"Gabija","362","13"
"Mariam","362","13"
"Eileen","362","13"
"Antonina","362","13"
"Addison","362","13"
"Emelia","362","13"
"Arya","362","13"
"Eibhlin","362","13"
"Kaia","362","13"
"Macie","362","13"
"Esmee","362","13"
"Kelly","378","12"
"Martyna","378","12"
"Karolina","378","12"
"Eadaoin","378","12"
"Cliona","378","12"
"Karen","378","12"
"Tia","378","12"
"Daria","378","12"
"Weronika","378","12"
"Charley","378","12"
"Karina","378","12"
"Melanie","378","12"
"Miriam","378","12"
"Greta","378","12"
"Nell","378","12"
"Elisa","378","12"
"Makayla","378","12"
"Harriet","378","12"
"Kitty","378","12"
"Milana","378","12"
"Norah","378","12"
"Avery","378","12"
"Ayda","378","12"
"Tilly","378","12"
"Gabrielle","402","11"
"Angel","402","11"
"Tegan","402","11"
"Edel","402","11"
"Keela","402","11"
"Kamile","402","11"
"Kasey","402","11"
"Imogen","402","11"
"Louisa","402","11"
"Orna","402","11"
"Teresa","402","11"
"Kacie","402","11"
"Polly","402","11"
"Livia","402","11"
"Izabela","402","11"
"Rosanna","402","11"
"May","402","11"
"Bebhinn","402","11"
"Etain","402","11"
"Aubree","402","11"
"Aurora","402","11"
"Emmie","402","11"
"Leja","402","11"
"Lily-Mae","402","11"
"Nela","402","11"
"Skyler","402","11"
"Sonia","402","11"
"Viktoria","402","11"
"Violet","402","11"
"Jodie","431","10"
"Abi","431","10"
"Leanne","431","10"
"Yasmin","431","10"
"Patricia","431","10"
"Aaliyah","431","10"
"Kiera","431","10"
"Lucie","431","10"
"Marta","431","10"
"Anne","431","10"
"Francesca","431","10"
"Halle","431","10"
"Madeleine","431","10"
"Laragh","431","10"
"Zainab","431","10"
"Dara","431","10"
"Austeja","431","10"
"Mae","431","10"
"Hana","431","10"
"Michalina","431","10"
"Alessia","431","10"
"Annalise","431","10"
"Cait","431","10"
"Cali","431","10"
"Croiadh","431","10"
"Ide","431","10"
"Lyra","431","10"
"Sofija","431","10"
"Vilte","431","10"
"Brooklyn","431","10"
"Meadow","431","10"
"Natasha","462","9"
"Elle","462","9"
"Ailish","462","9"
"Bethany","462","9"
"Josephine","462","9"
"Lorna","462","9"
"Isobelle","462","9"
"Andreea","462","9"
"Ashleigh","462","9"
"Jamie","462","9"
"Angelina","462","9"
"Cleo","462","9"
"Kaci","462","9"
"Daniela","462","9"
"Maire","462","9"
"Amira","462","9"
"Aoileann","462","9"
"Hope","462","9"
"Iris","462","9"
"Lyla","462","9"
"Kimberley","462","9"
"Lily-Rose","462","9"
"Olive","462","9"
"Adelina","462","9"
"Harley","462","9"
"Harlow","462","9"
"Juno","462","9"
"Kenzie","462","9"
"Lilah","462","9"
"Macy","462","9"
"Philippa","462","9"
"Piper","462","9"
"Louise","494","8"
"Courtney","494","8"
"Ashling","494","8"
"Rihanna","494","8"
"Shania","494","8"
"Aislinn","494","8"
"Caoilinn","494","8"
"Ayesha","494","8"
"Evelina","494","8"
"Genevieve","494","8"
