"Name","Rank","Number of Births"
"Jack","1","831"
"James","2","773"
"Daniel","3","683"
"Sean","4","677"
"Conor","5","639"
"Adam","6","558"
"Ryan","7","510"
"Harry","7","510"
"Dylan","9","471"
"Michael","10","462"
"Luke","11","457"
"Charlie","12","432"
"Liam","13","427"
"Oisin","14","407"
"Cian","15","406"
"Jamie","16","404"
"Thomas","17","403"
"Alex","18","392"
"Noah","19","390"
"Darragh","20","389"
"Patrick","21","388"
"Aaron","22","372"
"Cillian","23","341"
"Matthew","24","336"
"John","25","297"
"Nathan","26","295"
"David","27","292"
"Fionn","27","292"
"Evan","29","278"
"Ethan","30","268"
"Jake","31","265"
"Kyle","32","252"
"Rian","33","243"
"Ben","34","232"
"Max","34","232"
"Eoin","36","228"
"Tadhg","37","224"
"Finn","38","218"
"Callum","39","215"
"Samuel","40","213"
"Joshua","41","210"
"Rory","42","200"
"Jayden","43","197"
"Joseph","44","196"
"Tyler","45","195"
"Sam","46","183"
"Shane","47","176"
"Mark","48","175"
"Robert","48","175"
"Aidan","50","172"
"William","51","169"
"Ronan","52","167"
"Eoghan","53","166"
"Alexander","54","161"
"Leon","54","161"
"Cathal","56","160"
"Mason","57","159"
"Tom","58","157"
"Oliver","59","155"
"Andrew","60","151"
"Oscar","61","150"
"Ciaran","62","143"
"Bobby","63","141"
"Jacob","64","140"
"Senan","65","126"
"Rhys","66","124"
"Scott","67","118"
"Cormac","68","116"
"Benjamin","68","116"
"Kevin","70","112"
"Lucas","71","109"
"Alan","72","108"
"Jakub","73","106"
"Donnacha","73","106"
"Christopher","75","105"
"Killian","76","104"
"Filip","76","104"
"Josh","78","103"
"Alfie","79","102"
"Tommy","80","101"
"Ruairi","81","99"
"Odhran","82","98"
"Oran","83","97"
"Leo","84","96"
"Isaac","85","95"
"Jason","86","94"
"Dara","86","94"
"Zach","88","93"
"Peter","89","91"
"Martin","89","91"
"Brian","91","90"
"Danny","92","88"
"Niall","93","86"
"Tomas","93","86"
"Stephen","95","84"
"Edward","95","84"
"Logan","97","80"
"Kacper","98","79"
"Anthony","99","77"
"Billy","100","76"
"Riley","101","75"
"Daire","102","72"
"Lee","103","69"
"Paul","103","69"
"Cameron","103","69"
"Shay","103","69"
"Lorcan","107","68"
"Dominik","107","68"
"Tiernan","109","66"
"Sebastian","109","66"
"Kai","109","66"
"Kian","112","63"
"Hugh","112","63"
"Dean","114","62"
"Jan","114","62"
"Ross","116","61"
"Luca","116","61"
"Daithi","116","61"
"Eric","116","61"
"George","116","61"
"Micheal","121","60"
"Calum","122","59"
"Padraig","122","59"
"Charles","122","59"
"Caleb","122","59"
"Szymon","126","58"
"Louis","127","57"
"Adrian","127","57"
"Richard","129","56"
"Hugo","129","56"
"Cody","131","55"
"Reuben","131","55"
"Reece","133","53"
"Antoni","133","53"
"Jonathan","135","52"
"Daragh","135","52"
"Corey","135","52"
"Patryk","135","52"
"Keelan","135","52"
"Kayden","135","52"
"Colm","141","51"
"Philip","141","51"
"Henry","141","51"
"Tristan","144","50"
"Blake","144","50"
"Conall","146","48"
"Gabriel","146","48"
"Diarmuid","148","47"
"Brandon","148","47"
"Nicholas","148","47"
"Jay","148","47"
"Brendan","152","46"
"Gavin","153","45"
"Seamus","153","45"
"Eli","153","45"
"Christian","156","43"
"Connor","156","43"
"Gearoid","156","43"
"Caolan","156","43"
"Mateusz","156","43"
