"Name","Rank","Number of Births"
"Sophie","1","640"
"Ava","2","635"
"Emma","3","627"
"Sarah","4","568"
"Grace","5","528"
"Katie","6","502"
"Emily","7","500"
"Lucy","8","463"
"Aoife","9","459"
"Chloe","10","411"
"Amy","11","385"
"Lauren","12","371"
"Kate","13","364"
"Mia","14","362"
"Leah","15","358"
"Anna","16","357"
"Ruby","17","353"
"Ella","18","346"
"Ciara","19","337"
"Lily","20","336"
"Caoimhe","21","326"
"Holly","21","326"
"Hannah","23","321"
"Niamh","24","314"
"Saoirse","25","275"
"Molly","26","268"
"Jessica","27","257"
"Roisin","27","257"
"Rachel","29","247"
"Laura","30","243"
"Julia","31","236"
"Isabelle","32","233"
"Megan","33","232"
"Clodagh","34","224"
"Rebecca","35","219"
"Ellie","36","211"
"Erin","37","204"
"Eva","38","201"
"Olivia","39","197"
"Amelia","39","197"
"Nicole","41","194"
"Zoe","42","188"
"Kayla","43","183"
"Abbie","44","176"
"Aisling","45","170"
"Abigail","46","165"
"Aine","47","159"
"Ellen","48","155"
"Aimee","49","152"
"Sophia","50","147"
"Tara","51","145"
"Robyn","52","137"
"Caitlin","53","134"
"Maria","54","133"
"Maja","54","133"
"Eabha","56","131"
"Katelyn","57","128"
"Alannah","58","123"
"Cara","58","123"
"Faye","60","122"
"Mary","61","120"
"Aoibhe","62","118"
"Eve","62","118"
"Elizabeth","64","117"
"Isabel","64","117"
"Aoibhinn","64","117"
"Orla","67","112"
"Freya","67","112"
"Sadhbh","69","111"
"Isabella","70","105"
"Zuzanna","70","105"
"Charlotte","72","104"
"Eimear","73","102"
"Amber","74","100"
"Layla","74","100"
"Alice","76","95"
"Zara","77","94"
"Alexandra","78","92"
"Shauna","79","88"
"Aoibheann","79","88"
"Oliwia","79","88"
"Sinead","82","86"
"Clara","82","86"
"Isobel","82","86"
"Brooke","85","84"
"Kayleigh","86","82"
"Maeve","87","81"
"Natalia","87","81"
"Maya","89","80"
"Sara","90","79"
"Orlaith","91","77"
"Millie","91","77"
"Ruth","91","77"
"Shannon","94","75"
"Hollie","95","72"
"Madison","96","71"
"Daisy","97","70"
"Victoria","98","69"
"Taylor","98","69"
"Vanessa","98","69"
"Emilia","98","69"
"Jennifer","102","68"
"Jasmine","103","67"
"Alanna","104","66"
"Danielle","105","65"
"Jane","106","64"
"Muireann","107","61"
"Annie","107","61"
"Lilly","109","60"
"Wiktoria","109","60"
"Abby","111","59"
"Meabh","111","59"
"Naomi","111","59"
"Evie","111","59"
"Louise","115","58"
"Ailbhe","115","58"
"Abbey","117","57"
"Claire","117","57"
"Michelle","119","56"
"Aleksandra","119","56"
"Lena","119","56"
"Hanna","122","55"
"Carla","123","54"
"Lara","124","53"
"Heidi","124","53"
"Catherine","126","52"
"Keelin","126","52"
"Alisha","128","51"
"Gemma","128","51"
"Hazel","130","50"
"Alex","130","50"
"Sofia","130","50"
"Nadia","130","50"
"Mya","134","49"
"Andrea","134","49"
"Alison","136","48"
"Doireann","137","46"
"Lexi","137","46"
"Grainne","139","45"
"Naoise","139","45"
"Faith","139","45"
"Nikola","142","44"
"Alicia","143","43"
"Nicola","143","43"
"Sorcha","143","43"
"Martyna","143","43"
"Ali","147","42"
"Rose","147","42"
"Lexie","147","42"
"Siofra","150","41"
"Georgia","150","41"
"Eleanor","150","41"
"Amelie","150","41"
"Summer","150","41"
"Zofia","150","41"
"Jodie","156","40"
"Laoise","156","40"
"Siobhan","158","39"
"Nina","158","39"
"Rihanna","158","39"
"Alana","161","38"
"Casey","161","38"
"Kelsey","161","38"
"Julie","161","38"
"Margaret","165","37"
"Emer","165","37"
"Aoibhin","165","37"
"Leona","168","36"
"Cora","168","36"
"Bridget","168","36"
"Lola","168","36"
"Paige","172","35"
"Mollie","172","35"
"Alicja","172","35"
"Gabriella","172","35"
"Maisie","172","35"
"Hayley","177","34"
"Cliodhna","177","34"
"Riona","177","34"
"Karolina","177","34"
"Gabriela","177","34"
"Alesha","177","34"
"Michaela","183","33"
"Tori","183","33"
"Kaitlyn","183","33"
"Cassie","183","33"
"Libby","183","33"
"Cliona","183","33"
"Carly","183","33"
"Jade","190","32"
"Evelyn","190","32"
"Samantha","190","32"
"Lisa","193","31"
"Shona","193","31"
"Beth","193","31"
"Sadie","193","31"
"Abi","197","30"
"Moya","197","30"
"Jenna","197","30"
"Teagan","197","30"
"Martha","201","29"
"Maebh","201","29"
"Kara","201","29"
"Sienna","204","28"
"Kathleen","204","28"
"Melissa","204","28"
"Dearbhla","204","28"
"Nadine","204","28"
"Tegan","204","28"
"Karina","204","28"
"Fiona","211","27"
"Siun","211","27"
"Juliette","211","27"
"Juliet","211","27"
"Stephanie","215","26"
"Brianna","215","26"
"Helena","215","26"
"Paulina","215","26"
"Natasha","219","25"
"Weronika","219","25"
"Skye","219","25"
"Lucie","219","25"
"Isla","219","25"
"Kelly","224","24"
"Erica","224","24"
"Yasmin","224","24"
"Sasha","224","24"
"Caragh","224","24"
"Diana","224","24"
"Matilda","224","24"
"Daria","224","24"
"Leanne","232","23"
"Gabrielle","232","23"
"Tia","232","23"
"Ana","232","23"
"Mairead","232","23"
"Zoey","232","23"
"Tess","232","23"
"Elena","239","22"
"Claudia","239","22"
"Nora","239","22"
"Ann","239","22"
"Stella","239","22"
"Phoebe","239","22"
"Laila","239","22"
"Maia","239","22"
"Milena","239","22"
"Keeva","248","21"
"Lydia","248","21"
"Lea","248","21"
"Annabel","248","21"
"Patrycja","248","21"
"April","248","21"
"Keira","254","20"
"Angel","254","20"
"Lucia","254","20"
"Bronagh","254","20"
"Kiera","254","20"
"Nessa","254","20"
"Klaudia","254","20"
"Willow","254","20"
"Kinga","254","20"
"Heather","263","19"
"Amanda","263","19"
"Katherine","263","19"
"Natalie","263","19"
"Poppy","263","19"
"Una","263","19"
"Ally","263","19"
"Annabelle","263","19"
"Alexis","263","19"
"Rachael","272","18"
"Ashley","272","18"
"Eadaoin","272","18"
"Alyssa","272","18"
"Joanna","272","18"
"Helen","272","18"
"Maggie","272","18"
"Leila","272","18"
"Daniella","272","18"
"Kasey","272","18"
"Marta","272","18"
"Addison","272","18"
"Patricia","284","17"
"Blathnaid","284","17"
"Marie","284","17"
"Beibhinn","284","17"
"Caroline","284","17"
"Charlie","284","17"
"Erika","284","17"
"Imogen","284","17"
"Jamie","284","17"
"Rosa","284","17"
"Eileen","284","17"
"Ema","284","17"
"Teresa","284","17"
"Liliana","284","17"
"Iga","284","17"
"Christina","299","16"
"Fatima","299","16"
"Edel","299","16"
"Keela","299","16"
"Sandra","299","16"
"Savannah","299","16"
"Beatrice","299","16"
"Bonnie","299","16"
"Deborah","299","16"
"Fia","299","16"
"Angela","299","16"
"Cerys","299","16"
"Makayla","299","16"
"Pola","299","16"
"Eden","299","16"
"Aideen","314","15"
"Courtney","314","15"
"Ashling","314","15"
"Darcy","314","15"
"Gabija","314","15"
"Elle","314","15"
"Nikita","314","15"
"Aislinn","314","15"
"Blaithin","314","15"
"Cadhla","314","15"
"Scarlett","314","15"
"Antonina","314","15"
"Lillian","314","15"
"Monika","314","15"
"Vivienne","314","15"
"Kaitlin","314","15"
"Alina","314","15"
